AP350 Power Channel DFS Test Specific (Cario-20120515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenna Gain(dbi):,,,2.4G:,,3,,5G:,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Gain(db):,,,2*2:,,3,,3*2:,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Code,,Channel Mode,2.4G HT20,,,,,,,,,,,,,5G HT20,,,,,,,,,,,,,,,,,,,,,,,
,,Channel,1,2,3,4,5,6,7,8,9,10,11,12,13,36,40,44,48,52,56,60,64,100,104,108,112,116,120,124,128,132,136,140,149,153,157,161,165
Mauritius,480,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,410,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New_Zealand,554,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,56,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,100,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,124,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,156,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,170,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,191,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,196,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechrepublic,203,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,208,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,233,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,246,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece ,300,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HONG_KONG, OFTA",344,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,348,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,356,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,428,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITHUANIA,440,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxemboug,442,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,807,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,470,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico ,484,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Ì,¡Ì,¡Ì,¡Ì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,528,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,642,Support Channel(dbm),¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Ì,¡Á,¡Á,¡Á,¡Á,¡Á
,,Support Power(dbm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
